月份,施工项目项目个数_累计值,施工项目项目个数_累计增减额,新开工项目项目个数_累计值,新开工项目项目个数_累计增减额,地区
201211,2834,391,2009,359,宁夏回族自治区
201212,2964,466,2119,447,宁夏回族自治区
201301,0,0,0,0,宁夏回族自治区
201302,199,94,39,4,宁夏回族自治区
201303,744,233,238,67,宁夏回族自治区
201304,1310,328,579,136,宁夏回族自治区
201305,1802,395,943,196,宁夏回族自治区
201306,2437,580,1443,316,宁夏回族自治区
201307,2739,605,1698,340,宁夏回族自治区
201308,3013,564,1957,298,宁夏回族自治区
201309,3402,710,2325,440,宁夏回族自治区
201310,3637,814,2550,543,宁夏回族自治区
201311,3776,942,2685,676,宁夏回族自治区
201312,3856,892,2744,625,宁夏回族自治区
201401,0,0,0,0,宁夏回族自治区
201402,251,52,82,43,宁夏回族自治区
201403,890,146,277,39,宁夏回族自治区
201404,1489,179,546,-33,宁夏回族自治区
201405,2017,215,877,-66,宁夏回族自治区
201406,2539,102,1312,-131,宁夏回族自治区
201407,2874,135,1605,-93,宁夏回族自治区
201408,3332,319,2032,75,宁夏回族自治区
201409,3813,411,2468,143,宁夏回族自治区
201410,3990,353,2624,74,宁夏回族自治区
201411,4132,356,2755,70,宁夏回族自治区
201412,0,0,0,0,宁夏回族自治区
201501,0,0,0,0,宁夏回族自治区
201502,167,-84,38,-44,宁夏回族自治区
201503,869,-21,342,65,宁夏回族自治区
201504,1385,-104,585,39,宁夏回族自治区
201505,1843,-174,960,83,宁夏回族自治区
201506,2562,23,1591,279,宁夏回族自治区
201507,2889,15,1886,281,宁夏回族自治区
201508,3235,-97,2207,175,宁夏回族自治区
201509,3591,-222,2536,68,宁夏回族自治区
201510,3968,-22,2888,264,宁夏回族自治区
201511,4169,37,3074,319,宁夏回族自治区
201512,4233,11,3124,337,宁夏回族自治区
201601,0,0,0,0,宁夏回族自治区
201602,332,165,94,56,宁夏回族自治区
201603,938,69,319,-23,宁夏回族自治区
201604,1411,26,618,33,宁夏回族自治区
201605,1916,73,1010,50,宁夏回族自治区
201606,2373,-189,1426,-165,宁夏回族自治区
201607,2640,-249,1671,-215,宁夏回族自治区
201608,3192,-43,2211,4,宁夏回族自治区
201609,3578,-13,2583,47,宁夏回族自治区
201610,3803,-165,2801,-87,宁夏回族自治区
201611,4038,-131,3024,-50,宁夏回族自治区
201612,4216,-17,3143,19,宁夏回族自治区
201701,0,0,0,0,宁夏回族自治区
201702,503,171,98,4,宁夏回族自治区
201703,1388,450,482,163,宁夏回族自治区
201704,1898,487,809,191,宁夏回族自治区
201705,2327,411,1150,140,宁夏回族自治区
201706,2914,541,1664,238,宁夏回族自治区
201707,3223,583,1940,269,宁夏回族自治区
201708,3670,478,2364,153,宁夏回族自治区
201709,4000,422,2676,93,宁夏回族自治区
201710,4293,490,2958,157,宁夏回族自治区
201711,4628,590,3278,254,宁夏回族自治区
201712,4770,591,3409,302,宁夏回族自治区
201801,0,0,0,0,宁夏回族自治区
201802,0,0,0,0,宁夏回族自治区
201803,0,0,0,0,宁夏回族自治区
201804,0,0,0,0,宁夏回族自治区
201805,0,0,0,0,宁夏回族自治区
201806,0,0,0,0,宁夏回族自治区
201807,0,0,0,0,宁夏回族自治区
201808,0,0,0,0,宁夏回族自治区
201809,0,0,0,0,宁夏回族自治区
201810,0,0,0,0,宁夏回族自治区
201811,0,0,0,0,宁夏回族自治区
201812,0,0,0,0,宁夏回族自治区
200801,0,0,0,0,新疆维吾尔自治区
200802,108,7,22,13,新疆维吾尔自治区
200803,686,107,270,44,新疆维吾尔自治区
200804,1587,78,764,5,新疆维吾尔自治区
200805,2606,102,1484,84,新疆维吾尔自治区
200806,3660,201,2354,208,新疆维吾尔自治区
200807,4206,199,2848,211,新疆维吾尔自治区
200808,4695,119,3285,135,新疆维吾尔自治区
200809,5195,-165,3733,-151,新疆维吾尔自治区
200810,5632,-95,4130,-87,新疆维吾尔自治区
200811,5824,-195,4308,-177,新疆维吾尔自治区
200812,6068,-666,4529,-572,新疆维吾尔自治区
200901,0,0,0,0,新疆维吾尔自治区
200902,233,125,75,53,新疆维吾尔自治区
200903,1092,406,532,262,新疆维吾尔自治区
200904,2314,727,1326,562,新疆维吾尔自治区
200905,3551,945,2263,779,新疆维吾尔自治区
200906,4635,975,3154,800,新疆维吾尔自治区
200907,5576,1370,3986,1138,新疆维吾尔自治区
200908,6312,1617,4667,1382,新疆维吾尔自治区
200909,7033,1838,5335,1602,新疆维吾尔自治区
200910,7529,1897,5802,1672,新疆维吾尔自治区
200911,7888,2064,6132,1824,新疆维吾尔自治区
200912,8184,1878,6383,1662,新疆维吾尔自治区
201001,0,0,0,0,新疆维吾尔自治区
201002,161,-72,24,-51,新疆维吾尔自治区
201003,990,-102,331,-201,新疆维吾尔自治区
201004,2094,-220,948,-378,新疆维吾尔自治区
201005,3563,12,1738,-525,新疆维吾尔自治区
201006,4726,91,2684,-470,新疆维吾尔自治区
201007,5630,54,3500,-486,新疆维吾尔自治区
201008,6337,25,4207,-460,新疆维吾尔自治区
201009,6979,-54,4849,-486,新疆维吾尔自治区
201010,7607,78,5477,-325,新疆维吾尔自治区
201011,7883,-5,5753,-379,新疆维吾尔自治区
201012,8097,-56,5962,-404,新疆维吾尔自治区
201101,0,0,0,0,新疆维吾尔自治区
201102,157,-15,14,-6,新疆维吾尔自治区
201103,976,47,280,16,新疆维吾尔自治区
201104,2266,395,972,228,新疆维吾尔自治区
201105,3705,557,1965,568,新疆维吾尔自治区
201106,5075,936,3067,889,新疆维吾尔自治区
201107,6034,1219,3935,1170,新疆维吾尔自治区
201108,6941,1768,4755,1493,新疆维吾尔自治区
201109,7881,2083,5666,1916,新疆维吾尔自治区
201110,8581,2300,6310,2073,新疆维吾尔自治区
201111,8959,2399,6647,2130,新疆维吾尔自治区
201112,9146,2484,6778,2155,新疆维吾尔自治区
201201,0,0,0,0,新疆维吾尔自治区
201202,180,23,9,-5,新疆维吾尔自治区
201203,1339,363,342,62,新疆维吾尔自治区
201204,3307,1041,1342,370,新疆维吾尔自治区
201205,5176,1471,2566,601,新疆维吾尔自治区
201206,6743,1668,3803,736,新疆维吾尔自治区
201207,7962,1928,4816,881,新疆维吾尔自治区
201208,9055,2114,5821,1066,新疆维吾尔自治区
201209,10130,2249,6806,1140,新疆维吾尔自治区
201210,10887,2306,7467,1157,新疆维吾尔自治区
201211,11440,2481,7978,1331,新疆维吾尔自治区
201212,11567,2421,8063,1285,新疆维吾尔自治区
201301,0,0,0,0,新疆维吾尔自治区
201302,167,-13,12,3,新疆维吾尔自治区
201303,1404,65,417,75,新疆维吾尔自治区
201304,3756,449,1470,128,新疆维吾尔自治区
201305,5712,536,2625,59,新疆维吾尔自治区
201306,7611,868,4194,391,新疆维吾尔自治区
201307,9068,1106,5490,674,新疆维吾尔自治区
201308,10362,1307,6670,849,新疆维吾尔自治区
201309,11730,1600,7939,1133,新疆维吾尔自治区
201310,12702,1815,8851,1384,新疆维吾尔自治区
201311,13275,1835,9377,1399,新疆维吾尔自治区
201312,13550,3983,9627,3239,新疆维吾尔自治区
201401,0,0,0,0,新疆维吾尔自治区
201402,231,64,3,-9,新疆维吾尔自治区
201403,1888,484,500,83,新疆维吾尔自治区
201404,4390,634,1541,71,新疆维吾尔自治区
201405,6582,870,2958,333,新疆维吾尔自治区
201406,8672,1061,4650,456,新疆维吾尔自治区
201407,9990,922,5741,251,新疆维吾尔自治区
201408,11530,1168,7134,464,新疆维吾尔自治区
201409,13125,1395,8614,675,新疆维吾尔自治区
201410,14198,1496,9568,717,新疆维吾尔自治区
201411,14924,1649,10245,868,新疆维吾尔自治区
201412,0,0,0,0,新疆维吾尔自治区
201501,0,0,0,0,新疆维吾尔自治区
201502,299,68,31,28,新疆维吾尔自治区
201503,2081,193,519,19,新疆维吾尔自治区
201504,4369,-21,1571,30,新疆维吾尔自治区
201505,6500,-82,2981,23,新疆维吾尔自治区
201506,8997,325,5105,455,新疆维吾尔自治区
201507,10461,471,6383,642,新疆维吾尔自治区
201508,12203,673,7938,804,新疆维吾尔自治区
201509,14353,1228,9846,1232,新疆维吾尔自治区
201510,15611,1413,10994,1426,新疆维吾尔自治区
201511,16154,1230,11465,1220,新疆维吾尔自治区
201512,16344,2986,11621,2050,新疆维吾尔自治区
201601,0,0,0,0,新疆维吾尔自治区
201602,451,152,28,-3,新疆维吾尔自治区
201603,2489,408,783,264,新疆维吾尔自治区
201604,5291,922,2419,848,新疆维吾尔自治区
201605,7860,1360,4390,1409,新疆维吾尔自治区
201606,10844,1847,7089,1984,新疆维吾尔自治区
201607,12543,2082,8610,2227,新疆维吾尔自治区
201608,15185,2982,11136,3198,新疆维吾尔自治区
201609,17225,2872,13090,3244,新疆维吾尔自治区
201610,18385,2774,14247,3253,新疆维吾尔自治区
201611,18976,2822,14748,3283,新疆维吾尔自治区
201612,19123,2779,14869,3248,新疆维吾尔自治区
201701,0,0,0,0,新疆维吾尔自治区
201702,762,311,91,63,新疆维吾尔自治区
201703,3573,1084,1326,543,新疆维吾尔自治区
201704,6935,1644,3369,950,新疆维吾尔自治区
201705,10652,2792,6543,2153,新疆维吾尔自治区
201706,15139,4295,10671,3582,新疆维吾尔自治区
201707,18087,5544,13412,4802,新疆维吾尔自治区
201708,20634,5449,15807,4671,新疆维吾尔自治区
201709,23785,6560,18844,5754,新疆维吾尔自治区
201710,24541,6156,19545,5298,新疆维吾尔自治区
201711,25204,6228,20195,5447,新疆维吾尔自治区
201712,23692,4828,18847,4210,新疆维吾尔自治区
201801,0,0,0,0,新疆维吾尔自治区
201802,0,0,0,0,新疆维吾尔自治区
201803,0,0,0,0,新疆维吾尔自治区
201804,0,0,0,0,新疆维吾尔自治区
201805,0,0,0,0,新疆维吾尔自治区
201806,0,0,0,0,新疆维吾尔自治区
201807,0,0,0,0,新疆维吾尔自治区
201808,0,0,0,0,新疆维吾尔自治区
201809,0,0,0,0,新疆维吾尔自治区
201810,0,0,0,0,新疆维吾尔自治区
201811,0,0,0,0,新疆维吾尔自治区
201812,0,0,0,0,新疆维吾尔自治区
